iter	Passed	Remaining
0	155	155258
1	172	86187
2	194	64714
3	214	53484
4	233	46470
5	252	41759
6	270	38346
7	289	35844
8	307	33880
9	325	32270
10	344	30931
11	362	29839
12	381	28934
13	399	28164
14	420	27586
15	438	26960
16	457	26436
17	476	25981
18	495	25573
19	514	25194
20	532	24838
21	551	24515
22	569	24204
23	588	23938
24	607	23685
25	626	23451
26	644	23225
27	663	23025
28	682	22849
29	701	22686
30	730	22848
31	754	22833
32	779	22830
33	800	22738
34	819	22584
35	837	22434
36	856	22286
37	875	22160
38	894	22036
39	912	21899
40	931	21790
41	950	21675
42	969	21569
43	988	21469
44	1006	21370
45	1026	21280
46	1049	21287
47	1085	21524
48	1106	21466
49	1125	21393
50	1144	21294
51	1162	21200
52	1181	21109
53	1199	21019
54	1218	20932
55	1236	20841
56	1254	20760
57	1273	20685
58	1292	20612
59	1311	20543
60	1330	20476
61	1348	20406
62	1367	20343
63	1387	20286
64	1405	20222
65	1426	20188
66	1445	20126
67	1464	20069
68	1483	20011
69	1501	19948
70	1520	19889
71	1538	19831
72	1557	19773
73	1576	19721
74	1594	19666
75	1613	19615
76	1631	19562
77	1651	19518
78	1669	19465
79	1688	19413
80	1706	19366
81	1725	19322
82	1744	19276
83	1763	19231
84	1782	19187
85	1800	19140
86	1821	19111
87	1839	19068
88	1858	19020
89	1876	18976
90	1895	18937
91	1917	18925
92	1937	18891
93	1955	18850
94	1974	18807
95	1992	18765
96	2011	18724
97	2030	18687
98	2060	18753
99	2081	18733
100	2100	18694
101	2119	18656
102	2137	18618
103	2156	18576
104	2175	18541
105	2193	18503
106	2212	18466
107	2231	18431
108	2250	18394
109	2269	18360
110	2287	18322
111	2306	18289
112	2325	18250
113	2344	18217
114	2363	18186
115	2382	18156
116	2401	18123
117	2420	18091
118	2440	18066
119	2459	18038
120	2479	18008
121	2498	17977
122	2516	17945
123	2535	17909
124	2553	17873
125	2572	17843
126	2591	17812
127	2609	17780
128	2630	17760
129	2650	17735
130	2669	17705
131	2687	17674
132	2706	17641
133	2725	17613
134	2744	17584
135	2763	17557
136	2782	17526
137	2800	17494
138	2826	17507
139	2868	17623
140	2910	17731
141	2956	17862
142	2993	17939
143	3035	18044
144	3070	18107
145	3126	18286
146	3182	18468
147	3211	18490
148	3249	18557
149	3289	18640
150	3340	18780
151	3381	18863
152	3434	19010
153	3487	19158
154	3536	19277
155	3581	19376
156	3631	19497
157	3680	19611
158	3728	19722
159	3778	19839
160	3826	19940
161	3871	20027
162	3918	20123
163	3964	20207
164	3995	20217
165	4032	20257
166	4069	20298
167	4101	20314
168	4137	20345
169	4166	20341
170	4191	20319
171	4209	20265
172	4230	20222
173	4249	20172
174	4267	20118
175	4286	20069
176	4306	20022
177	4324	19972
178	4343	19921
179	4365	19886
180	4383	19835
181	4402	19786
182	4421	19738
183	4440	19693
184	4459	19645
185	4477	19596
186	4496	19550
187	4515	19502
188	4533	19454
189	4552	19409
190	4571	19364
191	4590	19318
192	4609	19273
193	4628	19228
194	4648	19190
195	4666	19143
196	4685	19099
197	4704	19056
198	4722	19010
199	4741	18966
200	4760	18923
201	4779	18880
202	4798	18839
203	4817	18797
204	4836	18755
205	4855	18714
206	4876	18682
207	4899	18654
208	4923	18634
209	4942	18593
210	4962	18556
211	4981	18515
212	5000	18475
213	5030	18476
214	5051	18443
215	5073	18415
216	5092	18375
217	5110	18333
218	5132	18301
219	5152	18269
220	5171	18228
221	5190	18188
222	5209	18149
223	5227	18109
224	5247	18074
225	5271	18053
226	5294	18029
227	5318	18007
228	5339	17976
229	5361	17950
230	5385	17929
231	5410	17910
232	5435	17894
233	5459	17872
234	5483	17851
235	5507	17829
236	5532	17812
237	5554	17785
238	5577	17760
239	5597	17725
240	5613	17678
241	5631	17639
242	5650	17603
243	5669	17567
